year,id,x,y,planned_size,realized_size,share_high_severity
1,1,631428,5.00585e+06,381,481,1
1,2,538628,5.04605e+06,5670,2113,1
2,3,517128,4.75995e+06,601,732,1
2,4,458828,4.94395e+06,5841,118,1
3,5,603228,4.76085e+06,512,680,1
3,6,409328,4.92865e+06,1402,1935,1
3,7,500728,4.78175e+06,435,203,1
3,8,586528,4.79835e+06,2364,3743,1
3,9,548828,4.75565e+06,395,480,1
3,10,568428,4.87745e+06,1554,2196,1
3,11,520028,4.95935e+06,690,838,1
3,12,429328,5.05525e+06,230164,4322,1
4,13,560428,4.94485e+06,1772,2622,1
4,14,660028,4.71515e+06,833,1037,1
4,15,595228,5.02625e+06,6536,1830,1
